,county,enroll12,numtsttakr12,numerwbenchmark12,pcterwbenchmark12,nummathbenchmark12,pctmathbenchmark12,enroll11,numtsttakr11,numerwbenchmark11,pcterwbenchmark11,nummathbenchmark11,pctmathbenchmark11,totnumbothbenchmark12,pctbothbenchmark12,totnumbothbenchmark11,pctbothbenchmark11,medianhouseholdincome,participation_rate_grade11,participation_rate_grade12
0,El Dorado,2226.0,604.0,547.0,90.56,458.0,75.83,2201.0,713.0,667.0,93.55,636.0,89.2,442.0,73.18,619.0,86.82,83377,0.323943661971831,0.27133872416891286
1,Los Angeles,114618.0,48676.0,30081.0,61.8,19791.0,40.66,111894.0,68275.0,39363.0,57.65,26064.0,38.18,18555.0,38.12,24602.0,36.03,68044,0.6101757020036821,0.4246802421958157
2,Madera,2352.0,442.0,277.0,62.67,136.0,30.77,2318.0,1290.0,608.0,47.13,316.0,24.5,127.0,28.73,293.0,22.71,57585,0.5565142364106989,0.1879251700680272
3,Yolo,2299.0,759.0,586.0,77.21,464.0,61.13,2320.0,798.0,709.0,88.85,605.0,75.81,443.0,58.37,591.0,74.06,70228,0.3439655172413793,0.33014354066985646
4,Kern,14229.0,3793.0,2334.0,61.53,1481.0,39.05,13967.0,2789.0,2077.0,74.47,1570.0,56.29,1364.0,35.96,1454.0,52.13,53350,0.19968497171905206,0.2665682760559421
5,Napa,1717.0,555.0,403.0,72.61,272.0,49.01,1687.0,778.0,576.0,74.04,377.0,48.46,258.0,46.49,361.0,46.4,88596,0.46117368109069357,0.32323820617355853
6,Santa Cruz,3239.0,864.0,655.0,75.81,487.0,56.37,3078.0,1049.0,873.0,83.22,720.0,68.64,468.0,54.17,698.0,66.54,82234,0.34080571799870046,0.26674899660389007
8,Sacramento,19540.0,6090.0,4138.0,67.95,2945.0,48.36,18106.0,7684.0,5418.0,70.51,4044.0,52.63,2779.0,45.63,3877.0,50.46,67151,0.4243897050701425,0.311668372569089
9,San Bernardino,31635.0,10544.0,7014.0,66.52,4368.0,41.43,31049.0,16105.0,9602.0,59.62,5952.0,36.96,4083.0,38.72,5577.0,34.63,63362,0.5186962543077072,0.333301722775407
10,Calaveras,451.0,90.0,81.0,90.0,60.0,66.67,450.0,106.0,93.0,87.74,74.0,69.81,60.0,66.67,70.0,66.04,63158,0.23555555555555555,0.19955654101995565
11,Mariposa,155.0,36.0,33.0,91.67,27.0,75.0,136.0,39.0,35.0,89.74,35.0,89.74,26.0,72.22,34.0,87.18,48820,0.2867647058823529,0.23225806451612904
12,Placer,5931.0,1959.0,1709.0,87.24,1395.0,71.21,5919.0,2147.0,1996.0,92.97,1793.0,83.51,1350.0,68.91,1751.0,81.56,89691,0.3627301909106268,0.3302984319676277
13,Tuolumne,518.0,80.0,66.0,82.5,48.0,60.0,493.0,68.0,60.0,88.24,44.0,64.71,48.0,60.0,42.0,61.76,60108,0.13793103448275862,0.15444015444015444
14,Mendocino,988.0,217.0,174.0,80.18,118.0,54.38,995.0,237.0,177.0,74.68,144.0,60.76,110.0,50.69,134.0,56.54,51416,0.23819095477386934,0.21963562753036436
15,Orange,41235.0,16061.0,11463.0,71.37,8971.0,55.86,39775.0,14305.0,12467.0,87.15,11006.0,76.94,8533.0,53.13,10646.0,74.42,90234,0.3596480201131364,0.3894992118346065
16,San Luis Obispo,2841.0,630.0,552.0,87.62,409.0,64.92,2716.0,847.0,757.0,89.37,662.0,78.16,401.0,63.65,638.0,75.32,73518,0.3118556701030928,0.22175290390707497
17,San Mateo,7235.0,3113.0,2410.0,77.42,1945.0,62.48,7216.0,3003.0,2671.0,88.94,2389.0,79.55,1857.0,59.65,2330.0,77.59,122641,0.41615853658536583,0.4302695231513476
18,Marin,2647.0,965.0,855.0,88.6,674.0,69.84,2641.0,1105.0,1031.0,93.3,919.0,83.17,664.0,68.81,903.0,81.72,115246,0.418402120408936,0.3645636569701549
19,Siskiyou,462.0,109.0,83.0,76.15,58.0,53.21,419.0,108.0,90.0,83.33,65.0,60.19,55.0,50.46,64.0,59.26,45241,0.2577565632458234,0.23593073593073594
20,Glenn,500.0,90.0,58.0,64.44,27.0,30.0,439.0,90.0,67.0,74.44,45.0,50.0,25.0,27.78,41.0,45.56,49633,0.20501138952164008,0.18
21,San Joaquin,11778.0,3351.0,2344.0,69.95,1515.0,45.21,12024.0,2449.0,1960.0,80.03,1547.0,63.17,1417.0,42.29,1483.0,60.56,64432,0.20367598137059215,0.28451349974528783
22,Tulare,7558.0,1801.0,1117.0,62.02,640.0,35.54,7504.0,1530.0,1087.0,71.05,754.0,49.28,589.0,32.7,706.0,46.14,49687,0.2038912579957356,0.23829055305636412
23,Alameda,17567.0,5946.0,4566.0,76.79,3623.0,60.93,17191.0,7608.0,6374.0,83.78,5607.0,73.7,3458.0,58.16,5437.0,71.46,99406,0.44255715199813855,0.33847555074856267
24,Fresno,14299.0,4070.0,2664.0,65.45,1619.0,39.78,14965.0,6291.0,3886.0,61.77,2389.0,37.97,1538.0,37.79,2264.0,35.99,53969,0.42038088874039425,0.2846352891810616
25,Sonoma,5496.0,1326.0,1073.0,80.92,772.0,58.22,5390.0,1359.0,1197.0,88.08,979.0,72.04,746.0,56.26,948.0,69.76,81018,0.2521335807050093,0.24126637554585154
26,Sutter,1827.0,359.0,297.0,82.73,189.0,52.65,1831.0,352.0,275.0,78.13,217.0,61.65,187.0,52.09,207.0,58.81,59050,0.1922446750409612,0.19649698960043788
27,Monterey,5768.0,1872.0,1113.0,59.46,655.0,34.99,5582.0,1335.0,976.0,73.11,678.0,50.79,607.0,32.43,643.0,48.16,71015,0.23916159082766034,0.3245492371705964
28,Stanislaus,9071.0,2373.0,1605.0,67.64,971.0,40.92,8240.0,2273.0,1725.0,75.89,1188.0,52.27,904.0,38.1,1137.0,50.02,60704,0.2758495145631068,0.26160291037371847
29,Nevada,1869.0,186.0,159.0,85.48,131.0,70.43,935.0,170.0,163.0,95.88,150.0,88.24,127.0,68.28,149.0,87.65,66096,0.18181818181818182,0.09951845906902086
30,Solano,4845.0,1410.0,1063.0,75.39,728.0,51.63,4850.0,1206.0,1036.0,85.9,854.0,70.81,686.0,48.65,820.0,67.99,81472,0.24865979381443298,0.29102167182662536
32,Amador,305.0,53.0,44.0,83.02,35.0,66.04,344.0,48.0,47.0,97.92,41.0,85.42,33.0,62.26,41.0,85.42,62772,0.13953488372093023,0.1737704918032787
33,Merced,4559.0,1195.0,735.0,61.51,382.0,31.97,4450.0,1001.0,701.0,70.03,431.0,43.06,348.0,29.12,408.0,40.76,53672,0.2249438202247191,0.26211888572055275
34,Mono,420.0,37.0,32.0,86.49,21.0,56.76,112.0,31.0,27.0,87.1,23.0,74.19,21.0,56.76,22.0,70.97,62260,0.2767857142857143,0.0880952380952381
35,San Diego,42040.0,12872.0,10086.0,78.36,7462.0,57.97,38842.0,14061.0,11952.0,85.0,9973.0,70.93,7146.0,55.52,9660.0,68.7,78980,0.36200504608413575,0.3061845861084681
36,Tehama,688.0,91.0,69.0,75.82,53.0,58.24,775.0,85.0,67.0,78.82,64.0,75.29,52.0,57.14,58.0,68.24,44514,0.10967741935483871,0.13226744186046513
37,Trinity,154.0,13.0,,,,,121.0,34.0,28.0,82.35,24.0,70.59,,,23.0,67.65,40846,0.2809917355371901,0.08441558441558442
38,Del Norte,363.0,72.0,50.0,69.44,36.0,50.0,297.0,66.0,51.0,77.27,38.0,57.58,30.0,41.67,37.0,56.06,45283,0.2222222222222222,0.19834710743801653
39,Lassen,283.0,61.0,45.0,73.77,22.0,36.07,275.0,53.0,42.0,79.25,34.0,64.15,21.0,34.43,32.0,60.38,56352,0.19272727272727272,0.21554770318021202
40,San Benito,885.0,226.0,170.0,75.22,115.0,50.88,848.0,184.0,153.0,83.15,117.0,63.59,107.0,47.35,112.0,60.87,86958,0.2169811320754717,0.25536723163841807
41,Yuba,977.0,178.0,140.0,78.65,91.0,51.12,1009.0,177.0,146.0,82.49,106.0,59.89,88.0,49.44,104.0,58.76,58054,0.17542120911793854,0.18219037871033777
42,Humboldt,1342.0,300.0,250.0,83.33,177.0,59.0,1235.0,297.0,245.0,82.49,198.0,66.67,169.0,56.33,188.0,63.3,48041,0.24048582995951417,0.22354694485842028
43,Imperial,3168.0,775.0,540.0,69.68,320.0,41.29,2890.0,626.0,460.0,73.48,335.0,53.51,297.0,38.32,313.0,50.0,47622,0.21660899653979238,0.24463383838383837
44,Shasta,2161.0,386.0,330.0,85.49,256.0,66.32,2124.0,397.0,355.0,89.42,327.0,82.37,246.0,63.73,317.0,79.85,54667,0.1869114877589454,0.1786210087922258
45,Butte,2551.0,551.0,453.0,82.21,349.0,63.34,2392.0,536.0,466.0,86.94,413.0,77.05,332.0,60.25,394.0,73.51,52537,0.22408026755852842,0.2159937279498236
46,Colusa,339.0,74.0,39.0,52.7,15.0,20.27,367.0,114.0,78.0,68.42,57.0,50.0,14.0,18.92,54.0,47.37,59401,0.3106267029972752,0.2182890855457227
47,Inyo,548.0,88.0,47.0,53.41,31.0,35.23,881.0,81.0,49.0,60.49,38.0,46.91,28.0,31.82,35.0,43.21,57316,0.09194097616345062,0.16058394160583941
49,Santa Barbara,5304.0,1211.0,978.0,80.76,754.0,62.26,5090.0,1785.0,1329.0,74.45,1070.0,59.94,727.0,60.03,1014.0,56.81,74624,0.3506876227897839,0.2283182503770739
50,Santa Clara,21656.0,6920.0,5741.0,82.96,4796.0,69.31,20501.0,13736.0,10654.0,77.56,8948.0,65.14,4620.0,66.76,8651.0,62.98,124055,0.670016096775767,0.319541928333949
51,Ventura,10750.0,4534.0,2815.0,62.09,2068.0,45.61,10924.0,5468.0,3565.0,65.2,2697.0,49.32,1967.0,43.38,2580.0,47.18,88131,0.5005492493592091,0.4217674418604651
52,Kings,2004.0,443.0,290.0,65.46,162.0,36.57,2238.0,364.0,264.0,72.53,179.0,49.18,150.0,33.86,168.0,46.15,57848,0.16264521894548703,0.22105788423153694
53,Plumas,163.0,34.0,28.0,82.35,23.0,67.65,152.0,66.0,51.0,77.27,38.0,57.58,22.0,64.71,36.0,54.55,55359,0.4342105263157895,0.2085889570552147
54,Riverside,34277.0,14070.0,8572.0,60.92,5121.0,36.4,33167.0,13970.0,9170.0,65.64,6092.0,43.61,4799.0,34.11,5749.0,41.15,67005,0.42120179696686466,0.41047933016308313
55,Contra Costa,14593.0,5412.0,3798.0,70.18,2814.0,52.0,14120.0,5157.0,4583.0,88.87,3933.0,76.27,2721.0,50.28,3853.0,74.71,99716,0.36522662889518415,0.37086274241074485
56,Lake,667.0,167.0,123.0,73.65,71.0,42.51,731.0,126.0,94.0,74.6,50.0,39.68,65.0,38.92,47.0,37.3,47040,0.17236662106703146,0.25037481259370314
57,San Francisco,4447.0,2256.0,1579.0,69.99,1380.0,61.17,4500.0,2042.0,1702.0,83.35,1566.0,76.69,1248.0,55.32,1482.0,72.58,112449,0.4537777777777778,0.5073082977288059
